scan_id,window_id,rank,row_offset,col_offset,source_row_start,source_col_start,min_elevation_m,max_elevation_m,elevation_range_m,max_neighbor_grade,roughness_m,hazard,selected_route_id,note
first-trusted-square-9x9-corridor-scan-v2,r-8-c-12,61,-8,-12,3964,3778,624.148000,672.973000,48.825000,0.881750,7.974708,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r+16-c-4,62,16,-4,3988,3786,416.121000,467.532000,51.411000,0.895650,8.188000,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r+16-c-16,63,16,-16,3988,3774,564.228000,611.226000,46.998000,0.899700,8.475667,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r+4-c+8,64,4,8,3976,3798,325.873000,374.014000,48.141000,0.900200,8.104333,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r+16-c+0,65,16,0,3988,3790,360.001000,412.050000,52.049000,0.916000,9.140542,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r-8-c-8,66,-8,-8,3964,3782,577.942000,620.168000,42.226000,0.928350,7.854958,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r-16-c-12,67,-16,-12,3956,3778,656.422000,704.711000,48.289000,0.937050,8.343958,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r-12-c-12,68,-12,-12,3960,3778,635.391000,685.659000,50.268000,0.937050,8.524583,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r-16-c-4,69,-16,-4,3956,3786,541.964000,596.991000,55.027000,0.940950,9.605333,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r-16-c+12,70,-16,12,3956,3802,358.846000,402.312000,43.466000,0.943650,6.792125,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r-4-c+4,71,-4,4,3968,3794,406.203000,458.977000,52.774000,0.949250,9.016208,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r+16-c+12,72,16,12,3988,3802,219.415000,273.502000,54.087000,0.952500,9.451875,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r+8-c-4,73,8,-4,3980,3786,447.296000,506.078000,58.782000,0.979400,10.809917,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r-8-c+4,74,-8,4,3964,3794,411.773000,468.721000,56.948000,0.992850,9.857333,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r+16-c-8,75,16,-8,3988,3782,463.564000,516.381000,52.817000,0.995700,9.822667,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r+12-c-8,76,12,-8,3984,3782,477.556000,526.347000,48.791000,0.999500,7.653500,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r-4-c-12,77,-4,-12,3968,3778,612.527000,655.319000,42.792000,1.016600,7.538000,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r+12-c-4,78,12,-4,3984,3786,430.362000,491.083000,60.721000,1.048700,8.901917,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r+4-c+0,79,4,0,3976,3790,422.537000,476.548000,54.011000,1.064450,9.511042,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r+0-c+16,80,0,16,3972,3806,253.192000,305.605000,52.413000,1.067350,9.390167,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r+0-c+0,81,0,0,3972,3790,441.521000,499.693000,58.172000,1.159350,9.250125,blocked,direct-lola-window,promoted route evidence window; still blocked
